(7, 18)
(9, 18)
(7, 20)
(7, 19)
(8, 18)
(8, 19)
(9, 19)
(9, 20)
(8, 20)
(6, 18)
(5, 20)
(6, 20)
(5, 19)
(6, 19)
(5, 18)
(8, 24)
(9, 24)
(7, 24)
(2, 17)
(7, 21)
(9, 21)
(8, 21)
(8, 22)
(9, 22)
(7, 22)
(7, 23)
(8, 23)
(9, 23)
(6, 23)
(5, 23)
(5, 24)
(6, 24)
(6, 21)
(5, 21)
(6, 22)
(5, 22)
(4, 22)
(4, 21)
(3, 21)
(2, 22)
(3, 22)
(2, 21)
(2, 24)
(4, 24)
(3, 24)
(4, 23)
(3, 23)
(2, 23)
(0, 23)
(1, 23)
(1, 24)
(0, 24)
(0, 21)
(1, 21)
(0, 22)
(1, 22)
(1, 20)
(0, 20)
(0, 18)
(0, 19)
(1, 19)
(1, 18)
(2, 18)
(3, 18)
(4, 20)
(3, 19)
(4, 19)
(4, 18)
(3, 20)
(2, 19)
(2, 20)
(3, 15)
(4, 15)
(4, 17)
(3, 16)
(4, 16)
(2, 15)
(2, 16)
(3, 17)
(1, 15)
(0, 15)
(0, 16)
(1, 16)
(0, 17)
(1, 17)
(2, 13)
(4, 12)
(3, 14)
(4, 14)
(3, 13)
(4, 13)
(2, 14)
(2, 12)
(3, 12)
(0, 12)
(0, 14)
(1, 14)
(1, 13)
(0, 13)
(1, 12)
(6, 14)
(5, 14)
(6, 12)
(5, 13)
(6, 13)
(5, 12)
(7, 14)
(7, 12)
(8, 14)
(9, 13)
(8, 13)
(7, 13)
(9, 14)
(8, 12)
(9, 12)
(9, 15)
(7, 15)
(9, 17)
(8, 17)
(7, 16)
(9, 16)
(8, 16)
(8, 15)
(7, 17)
(6, 15)
(5, 17)
(6, 17)
(6, 16)
(5, 15)
(5, 16)
(17, 18)
(17, 21)
(17, 22)
(19, 21)
(18, 21)
(19, 22)
(18, 22)
(19, 23)
(18, 23)
(17, 24)
(18, 24)
(19, 24)
(17, 23)
(16, 21)
(15, 21)
(16, 22)
(15, 22)
(15, 23)
(16, 23)
(15, 24)
(16, 24)
(12, 15)
(13, 20)
(14, 20)
(13, 19)
(14, 19)
(13, 18)
(12, 19)
(12, 20)
(14, 18)
(12, 18)
(10, 18)
(11, 19)
(10, 19)
(11, 18)
(10, 20)
(11, 20)
(12, 21)
(13, 21)
(12, 22)
(14, 21)
(14, 22)
(13, 22)
(12, 23)
(13, 23)
(14, 23)
(14, 24)
(13, 24)
(12, 24)
(10, 21)
(11, 21)
(11, 22)
(10, 22)
(11, 23)
(10, 23)
(10, 24)
(11, 24)
(19, 18)
(18, 18)
(17, 19)
(19, 20)
(18, 20)
(17, 20)
(18, 19)
(19, 19)
(15, 18)
(15, 20)
(16, 20)
(16, 18)
(16, 19)
(15, 19)
(16, 12)
(15, 14)
(16, 14)
(16, 13)
(15, 13)
(15, 12)
(17, 13)
(17, 12)
(18, 14)
(19, 14)
(17, 14)
(18, 13)
(19, 13)
