Benchmark,Critical Cycles,Parallel Cycles,Heuristic Cycles,overlap cycles,Max CNOTS
bv_n11.qasm,70,70,70,70,1
4gt4-v0_72.qasm,610,610,610,610,2
cc_n400.qasm,2005,2005,2005,2005,1
sqrt8_260.qasm,7325,7325,7325,,3
bv_n10.qasm,65,65,65,65,1
rd32-v0_66.qasm,90,90,90,90,1
one-two-three-v3_101.qasm,185,185,185,185,2
4gt11_82.qasm,90,90,90,90,1
rd53_311.qasm,570,570,570,570,2
ex-1_166.qasm,55,55,55,55,1
mod5adder_127.qasm,1330,1330,1330,1330,2
rd32-v1_68.qasm,90,90,90,90,1
alu-v3_34.qasm,140,140,140,140,1
qft_n450.qasm,8990,119490,85595,87237,225
cc_n450.qasm,2255,2255,2255,2255,1
sym9_146.qasm,570,570,570,,2
mod10_171.qasm,615,615,615,615,2
bv_n200.qasm,1016,1016,1016,1016,1
alu-v0_27.qasm,100,100,100,100,2
mod5mils_65.qasm,95,95,95,95,1
qft_n50.qasm,990,2460,2090,2158,25
mini_alu_305.qasm,310,310,310,310,3
4mod5-v0_19.qasm,100,100,100,100,1
rd53_130.qasm,2530,2530,2530,2530,3
cm85a_209.qasm,28315,28315,28315,28315,4
sym6_145.qasm,9725,9725,9725,,3
ham7_104.qasm,815,815,815,815,2
qft_n12.qasm,230,280,260,265,6
bv_n14.qasm,85,85,85,85,1
cc_n12.qasm,65,65,65,65,1
4gt5_76.qasm,255,255,255,255,2
ham3_102.qasm,60,60,60,60,1
dc2_222.qasm,23205,23205,23205,23205,4
bv_n400.qasm,2016,2016,2016,2016,1
ex1_226.qasm,25,25,25,25,1
bv_n250.qasm,1266,1266,1266,1266,1
mod8-10_177.qasm,1095,1095,1095,1095,2
bv_n12.qasm,75,75,75,75,1
cc_n14.qasm,75,75,75,75,1
4gt4-v1_74.qasm,675,675,675,675,2
co14_215.qasm,37945,37945,37945,37945,5
bv_n150.qasm,766,766,766,766,1
4gt12-v0_88.qasm,475,475,475,475,2
4gt13_91.qasm,275,275,275,275,2
quantum_volume_n5_d5.qasm,,,,,
